a1 a2 pvalue1 pvalue2
0.02761589274038833 0.017037599324201753 0.06 0.97
-0.03115745057797376 0.017827484146393093 0.96 1.0
-0.07689155538189876 -0.03187632100179075 1.0 0.01
-0.011986418760485658 -0.016504236648024834 0.82 0.05
0.03284672334549653 -0.005001278124126452 0.02 0.21
-0.0023577657596038104 -0.03287216227447935 0.72 0.0
-0.08382992446749236 0.017875024980592708 1.0 0.98
-0.00355881043716054 -0.005547562011222375 0.65 0.15
-0.008906070122122333 -0.005011027298252916 0.77 0.27
-0.008502747018675287 -0.02217830881145094 0.85 0.0
-0.062466743001786326 0.022037621325780354 0.99 1.0
0.046176742180927106 -0.01599028792026509 0.06 0.14
-0.06087224543509082 0.006363646734185496 0.99 0.86
-0.01783092669508848 -0.023064824630994067 0.85 0.02
0.007214963685132246 0.022514837387943184 0.34 0.98
0.03606876497975379 -0.008550998270354689 0.01 0.11
-0.03698472605168528 -0.02558252348211831 0.98 0.0
-0.013455516093282424 5.3737223001614215e-05 0.86 0.62
0.1509600905843906 -0.016656033186901845 0.0 0.07
0.0348367096894565 -0.027818140970286124 0.06 0.03
-0.009407683116123547 0.013954932644807095 0.83 0.99
-0.041252618108063674 -0.0002692111016789326 0.97 0.45
