# Void0 Void1 Void2 Void3 Void4 r
0.0 0.0 0.0 0.0 0.0 1074.0
4.654072518053303e-10 0.0 0.0 0.0 0.0 1148.0
2.894452314028755e-10 0.0 0.0 0.0 2.894452314028755e-10 1222.0
2.0286879513276701e-10 0.0 0.0 0.0 2.0286879513276701e-10 1296.0
1.5192793384926432e-10 0.0 0.0 0.0 1.5192793384926432e-10 1370.0
1.1871703975188656e-10 0.0 0.0 0.0 1.1871703975188656e-10 1444.0
1.9114161028240462e-10 0.0 9.557080514120231e-11 0.0 9.557080514120231e-11 1518.0
1.5732645890628526e-10 0.0 7.866322945314263e-11 0.0 7.866322945314263e-11 1592.0
1.3174800701703716e-10 0.0 1.3174800701703716e-10 0.0 6.587400350851858e-11 1666.0
1.1187023064436517e-10 0.0 1.1187023064436517e-10 0.0 5.5935115322182584e-11 1740.0
1.4412897986975132e-10 0.0 1.4412897986975132e-10 0.0 1.9217197315966844e-10 1814.0
1.2499386719882125e-10 0.0 1.2499386719882125e-10 4.1664622399607084e-11 1.6665848959842833e-10 1888.0
1.457327363646422e-10 3.643318409116055e-11 1.0929955227348165e-10 7.28663681823211e-11 1.457327363646422e-10 1962.0
1.6044227508925384e-10 6.417691003570153e-11 9.626536505355231e-11 6.417691003570153e-11 1.2835382007140307e-10 2036.0
1.4220537114127044e-10 5.688214845650817e-11 1.1376429691301634e-10 1.4220537114127044e-10 1.4220537114127044e-10 2110.0
1.2675116758314314e-10 5.070046703325726e-11 1.2675116758314314e-10 1.774516346164004e-10 1.2675116758314314e-10 2184.0
1.3625556732431584e-10 4.541852244143861e-11 1.3625556732431584e-10 1.8167408976575444e-10 1.1354630610359652e-10 2258.0
1.2261616546024377e-10 4.087205515341459e-11 1.4305219303695107e-10 2.0436027576707295e-10 1.0218013788353648e-10 2332.0
1.2926475354584855e-10 5.539918009107795e-11 1.477311469095412e-10 2.215967203643118e-10 9.233196681846324e-11 2406.0
1.3399708055001674e-10 8.374817534376046e-11 1.3399708055001674e-10 2.344948909625293e-10 1.1724744548126464e-10 2480.0
1.5245186368916286e-10 1.0671630458241401e-10 1.219614909513303e-10 2.286777955337443e-10 1.0671630458241401e-10 2554.0
1.5312303554352124e-10 1.2528248362651737e-10 1.1136220766801545e-10 2.227244153360309e-10 1.809635874605251e-10 2628.0
1.4023006761669368e-10 1.1473369168638574e-10 1.0198550372123178e-10 2.167191954076175e-10 2.677119472682334e-10 2702.0
